month,location,grid_squaresX,grid_squaresY,aq,utctimestamp,period,test_period
Aug-15,Bonner Road,535356,183223,33.4,2015-08-01,before,
Aug-15,Locksley St/St Paul's Way,536702,181646,33.1,2015-08-01,before,
Aug-15,Whitechapel Market,534516,181744,68.8,2015-08-01,before,
Aug-15,Mansell St,533801,180726,70.1,2015-08-01,before,
Aug-15,Warner Place/Hackney Rd,534255,183130,35.2,2015-08-01,before,
Aug-15,Jubilee Street/Commercial Rd,535150,181279,53.0,2015-08-01,before,
Aug-15,Hannibal Rd/Mile End Rd,535392,182010,33.3,2015-08-01,before,
Aug-15,Sidney St/Mile End Rd,534968,181878,42.3,2015-08-01,before,
Aug-15,Colombia Rd/Gossett Street,533883,182815,34.0,2015-08-01,before,
Aug-15,Victoria Park,536494,184170,22.0,2015-08-01,before,
Aug-15,Ford Close/Roman Rd,536457,183301,31.5,2015-08-01,before,
Aug-15,Calvert Ave/Boundary Street,533507,182569,37.8,2015-08-01,before,
Aug-15,Finnis St/Three Colts Lane,534783,182385,28.9,2015-08-01,before,
Aug-15,Fieldgate Street,534232,181584,,2015-08-01,before,
Aug-15,St Katherine's Way,533984,180373,25.7,2015-08-01,before,
Sep-15,Jubilee Street/Commercial Rd,535150,181279,66.5,2015-09-01,before,
Sep-15,Stepney Green,535545,181604,33.6,2015-09-01,before,
Sep-15,Zetland Street/A12,538178,181747,76.3,2015-09-01,before,
Sep-15,St Katherine's Way,533984,180373,34.7,2015-09-01,before,
Sep-15,Wick Lane/Autumn St,537304,183619,46.5,2015-09-01,before,
Sep-15,Manchester Road/East Ferry Road,538033,178360,32.2,2015-09-01,before,
Sep-15,Wapping High St/Sampson St,534444,180122,35.7,2015-09-01,before,
Sep-15,Grove Rd/Old Ford Rd,535930,183385,46.2,2015-09-01,before,
Sep-15,Bonner Road,535356,183223,41.6,2015-09-01,before,
Sep-15,Bromley High Street/ St leonards,537868,182912,41.2,2015-09-01,before,
Sep-15,Bow Common Lane/St Paul's Way,537248,181820,,2015-09-01,before,
Sep-15,Wapping Wall/Garnet St,535132,180337,39.8,2015-09-01,before,
Sep-15,Mansell St,533801,180726,77.9,2015-09-01,before,
Sep-15,Millwall Park,538259,178688,24.9,2015-09-01,before,
Sep-15,Devas Street /Devons road,537821,182332,51.7,2015-09-01,before,
Sep-15,Wrexham Road,537581,183208,52.9,2015-09-01,before,
Sep-15,Bow Rd /Glebe Terrace,537525,182887,65.7,2015-09-01,before,
Sep-15,Morris/Barchester Street,537731,181761,,2015-09-01,before,
Sep-15,Whitechapel Market,534516,181744,,2015-09-01,before,
Sep-15,Mast House Terrace,537348,178690,30.7,2015-09-01,before,
Sep-15,Brodlove Lane,535598,180816,45.5,2015-09-01,before,
Sep-15,Watney Market,534938,181257,40.2,2015-09-01,before,
Sep-15,Fieldgate Street,534232,181584,56.0,2015-09-01,before,
Sep-15,TH Cemetery Park,536730,182363,24.7,2015-09-01,before,
Sep-15,Limeharbour,537953,179357,43.6,2015-09-01,before,
Sep-15,Dolphin Lane,537539,180688,30.4,2015-09-01,before,
Sep-15,Fairfield Road/Tredegar Road ,537159,183415,54.3,2015-09-01,before,
Sep-15,Buckfast St/Bethnal Green Rd,534259,182580,45.0,2015-09-01,before,
Sep-15,Globe Rd/Mile End Rd,535295,182820,56.8,2015-09-01,before,
Sep-15,Whitechapel High St (KFC),533985,181426,69.3,2015-09-01,before,
Sep-15,Prestons Road/ Coldharbour,538364,180188,39.7,2015-09-01,before,
Sep-15,Dellow St/The Highway,534951,180779,57.4,2015-09-01,before,
Sep-15,Commercial St/Calvin St,533583,182066,68.5,2015-09-01,before,
Sep-15,Rhondda Grove/Mile End Rd,536542,182589,28.4,2015-09-01,before,
Sep-15,Harford St/Mile End Rd,536089,182258,52.1,2015-09-01,before,
Sep-15,John Smith Mews,538742,180756,35.0,2015-09-01,before,
Sep-15,Thames Path Storers Quay,538730,178733,,2015-09-01,before,
Sep-15,Paradise Row/Bethnal Green Rd,534959,182757,42.4,2015-09-01,before,
Sep-15,Hannibal Rd/Mile End Rd,535392,182010,,2015-09-01,before,
Sep-15,Sidney St/Mile End Rd,534968,181878,42.1,2015-09-01,before,
Sep-15,St Stephen's Rd/Tredegar Rd,536713,183070,50.4,2015-09-01,before,
Sep-15,Ford Close/Roman Rd,536457,183301,49.8,2015-09-01,before,
Sep-15,Lawnhouse Close ,538191,179750,42.1,2015-09-01,before,
Sep-15,Colombia Rd/Gossett Street,533883,182815,39.4,2015-09-01,before,
Sep-15,"Cascades, Westferry Road",537115,180074,43.2,2015-09-01,before,
Sep-15,Parnell Rd/Old Ford Rd,536874,183741,41.6,2015-09-01,before,
Sep-15,Victoria Park,536494,184170,23.7,2015-09-01,before,
Sep-15,Cavell St/Stepney Way,534884,181667,38.2,2015-09-01,before,
Sep-15,Sextant Avenue,538674,178887,,2015-09-01,before,
Sep-15,Hatfield Terrace/Fairfield Road,537356,183059,36.1,2015-09-01,before,
Sep-15,Finnis St/Three Colts Lane,534783,182385,35.3,2015-09-01,before,
Sep-15,Victoria Park,536494,184170,,2015-09-01,before,
Sep-15,Bow Rd/Alfred St,537056,182773,36.7,2015-09-01,before,
Sep-15,Chrisp Street/E India Dock Road ,537940,181021,51.0,2015-09-01,before,
Sep-15,Calvert Ave/Boundary Street,533507,182569,35.0,2015-09-01,before,
Sep-15,Hale Street,537661,180768,31.8,2015-09-01,before,
Sep-15,Blair Street (End of Street),538366,181180,48.0,2015-09-01,before,
Sep-15,Warner Place/Hackney Rd,534255,183130,44.4,2015-09-01,before,
Sep-15,Rich Street,536937,180987,43.7,2015-09-01,before,
Sep-15,Locksley St/St Paul's Way,536702,181646,44.5,2015-09-01,before,
Sep-15,Millwall Park,538247,178689,26.1,2015-09-01,before,
Sep-15,Devons Road / Campbell Road ,537577,182232,49.9,2015-09-01,before,
Sep-15,Westferry Road/Limehouse Link jnct,537100,180791,,2015-09-01,before,
Sep-15,Dod St/Burdett Rd,537026,181227,40.4,2015-09-01,before,
Sep-15,Rhodeswell Rd,536574,181338,37.3,2015-09-01,before,
Sep-15,Manchester Road/Ollife Street ,538432,179044,25.3,2015-09-01,before,
Sep-15,Brick Lane/Princelet St,533866,181860,46.5,2015-09-01,before,
Sep-15,Seyssel Street,538545,178767,34.7,2015-09-01,before,
Sep-15,Ackroyd Drive,536767,181771,45.0,2015-09-01,before,
Sep-15,Bethnal Green Rd/ Brick Lane,533860,182442,38.8,2015-09-01,before,
Sep-15,Ben Johnson Road,536080,181721,,2015-09-01,before,
